Country Name,Country Code,Year,Life Expectancy,CO2,Injuries,Communicable,NonCommunicable,Region_Europe & Central Asia,Region_Latin America & Caribbean,Region_Middle East & North Africa,Region_North America,Region_South Asia,Region_Sub-Saharan Africa,IncomeGroup_Low income,IncomeGroup_Lower middle income,IncomeGroup_Upper middle income
Panama,PAN,0,75.233,-0.19261481280592327,0.16550960337753465,0.26128204009853895,0.738717959901461,False,True,False,False,False,False,False,False,False
Peru,PER,0,71.505,-0.16570498159933053,0.16593856686278077,0.38918638053652665,0.6108136194634733,False,True,False,False,False,False,False,False,True
Philippines,PHL,0,68.835,-0.1075151202205074,0.12479887775439241,0.43028574005601866,0.5697142599439814,False,False,False,False,False,False,False,True,False
Palau,PLW,0,64.161,-0.20056062910708256,0.18499835895107833,0.20157141936928508,0.798428580630715,False,False,False,False,False,False,False,False,True
Papua New Guinea,PNG,0,59.487,-0.19636258949463675,0.09889037076890618,0.5761480921035909,0.42385190789640903,False,False,False,False,False,False,False,True,False
Poland,POL,0,74.2,0.18800303104677485,0.16044132857294233,0.05470493191610498,0.9452950680838951,True,False,False,False,False,False,False,False,False
Puerto Rico,PRI,0,77.06682926829271,0.03421837805142127,0.13763836883113864,0.138048449607162,0.861951550392838,False,True,False,False,False,False,False,False,False
Portugal,PRT,0,76.81463414634149,-0.1195662749439323,0.10749621865028543,0.07562277681397714,0.9243772231860229,True,False,False,False,False,False,False,False,False
Paraguay,PRY,0,70.786,-0.19607124289692757,0.1567828833198445,0.32095495202361407,0.6790450479763861,False,True,False,False,False,False,False,False,True
Qatar,QAT,0,77.612,-0.16291070286675619,0.2757475619221057,0.14938996758610829,0.8506100324138918,False,False,True,False,False,False,False,False,False
Romania,ROU,0,71.16097560975611,-0.07473862797822536,0.13168891788394876,0.09584172982880365,0.9041582701711963,True,False,False,False,False,False,False,False,False
Rwanda,RWA,0,49.936,-0.2001103661833502,0.0914686994038955,0.798068764827133,0.201931235172867,False,False,False,False,False,True,True,False,False
Saudi Arabia,SAU,0,72.759,0.1356401016221352,0.27245010606784076,0.2318581072300561,0.768141892769944,False,False,True,False,False,False,False,False,False
Sudan,SDN,0,58.859,-0.19257508372441748,0.10334711971379781,0.6133860883422161,0.386613911657784,False,False,False,False,False,True,True,False,False
Senegal,SEN,0,58.177,-0.19494558558759667,0.052009651021349974,0.7333407995623796,0.2666592004376203,False,False,False,False,False,True,False,True,False
Singapore,SGP,0,78.25121951219512,-0.14519153251517097,0.12749535327646142,0.09573084719951701,0.904269152800483,False,False,False,False,False,False,False,False,False
Solomon Islands,SLB,0,67.816,-0.20052090002557676,0.13882701302044737,0.45041837031154885,0.5495816296884511,False,False,False,False,False,False,False,True,False
Sierra Leone,SLE,0,40.369,-0.2002692825093734,0.044083990776395,0.8120238717181691,0.18797612828183097,False,False,False,False,False,True,True,False,False
El Salvador,SLV,0,69.162,-0.19307831875682424,0.3349160296467872,0.28950733193155936,0.7104926680684407,False,True,False,False,False,False,False,True,False
San Marino,SMR,0,60.1875,-0.19662745003800872,0.09776392771777309,0.05188429437768234,0.9481157056223177,True,False,False,False,False,False,False,False,False
Somalia,SOM,0,51.213,-0.2001765813191932,0.05665861972880971,0.8314414133848121,0.16855858661518783,False,False,False,False,False,True,True,False,False
Serbia,SRB,0,72.23414634146341,-0.14125835344609713,0.11846343479302603,0.06241625562813607,0.9375837443718639,True,False,False,False,False,False,False,False,True
South Sudan,SSD,0,49.592,-0.200150095264856,0.0548609939660444,0.8200405926505532,0.17995940734944688,False,False,False,False,False,True,True,False,False
Sao Tome and Principe,STP,0,62.017,-0.20078576056894873,0.05271640981124205,0.6157750242897169,0.3842249757102831,False,False,False,False,False,True,False,True,False
Suriname,SUR,0,67.913,-0.19883903557516472,0.13579458033506897,0.3603486043395992,0.6396513956604009,False,True,False,False,False,False,False,False,True
Slovenia,SVN,0,75.75853658536586,-0.18048419991948678,0.1918336263059886,0.05045853091875965,0.9495414690812403,True,False,False,False,False,False,False,False,False
Sweden,SWE,0,79.79512195121951,-0.13132608306964805,0.09825361497432267,0.04218828705220535,0.9578117129477945,True,False,False,False,False,False,False,False,False
Eswatini,SWZ,0,45.799,-0.2000441510475072,0.07213096490898448,0.8010134389783723,0.1989865610216277,False,False,False,False,False,True,False,True,False
Seychelles,SYC,0,73.25365853658538,-0.2004281988353966,0.1229682758879839,0.1835414141983485,0.8164585858016514,False,False,False,False,False,True,False,False,False
Chad,TCD,0,47.789,-0.20040171278105937,0.04640140598499876,0.8384646001932016,0.16153539980679846,False,False,False,False,False,True,True,False,False
Togo,TGO,0,53.554,-0.19928929849889707,0.053161623089221385,0.7862048502820331,0.2137951497179668,False,False,False,False,False,True,True,False,False
Thailand,THA,0,70.832,0.02846428274666509,0.23798121998748775,0.2663998192545572,0.7336001807454429,False,False,False,False,False,False,False,False,True
Tajikistan,TJK,0,62.807,-0.198004724863543,0.11378651635291327,0.5160998099412073,0.48390019005879265,True,False,False,False,False,False,False,True,False
Turkmenistan,TKM,0,63.842,-0.14904525342123323,0.1216774286215293,0.38633909232895336,0.6136609076710465,True,False,False,False,False,False,False,False,True
Tonga,TON,0,69.725,-0.20073278846027434,0.090416924357478,0.27003826999176944,0.7299617300082306,False,False,False,False,False,False,False,False,True
Trinidad and Tobago,TTO,0,69.65,-0.18546357813487993,0.12739891954019478,0.21015886787377247,0.7898411321262275,False,True,False,False,False,False,False,False,False
Tunisia,TUN,0,73.415,-0.17228676610212412,0.15121302300544284,0.2050406275674833,0.7949593724325167,False,False,True,False,False,False,False,True,False
Tuvalu,TUV,0,62.429500000000004,-0.20083873267762314,0.11697947570772053,0.25837815254927465,0.7416218474507252,False,False,False,False,False,False,False,False,True
Tanzania,TZA,0,51.444,-0.19670690820102033,0.03642910526526379,0.8105275866479802,0.18947241335201978,False,False,False,False,False,True,False,True,False
Uganda,UGA,0,47.22,-0.1991303821728739,0.038226279021406934,0.8448420567726369,0.15515794322736298,False,False,False,False,False,True,True,False,False
Ukraine,UKR,0,67.83707317073171,0.1971672058474452,0.1860793239716118,0.07238266302995905,0.927617336970041,True,False,False,False,False,False,False,True,False
Uruguay,URY,0,74.939,-0.19429667725633534,0.14490012000770924,0.1075492593036586,0.8924507406963413,False,True,False,False,False,False,False,False,False
United States,USA,0,76.83658536585367,7.411584359512182,0.11605665180256727,0.06395736154695474,0.9360426384530454,False,False,False,True,False,False,False,False,False
Uzbekistan,UZB,0,67.374,-0.03438712419550481,0.13071833517544254,0.3501941885358835,0.6498058114641164,True,False,False,False,False,False,False,True,False
Vietnam,VNM,0,73.228,-0.12573752560449933,0.14836624094109838,0.29985826234131113,0.7001417376586889,False,False,False,False,False,False,False,True,False
Vanuatu,VUT,0,67.583,-0.20073278846027434,0.13671792572079103,0.39863611804305593,0.601363881956944,False,False,False,False,False,False,False,True,False
Samoa,WSM,0,69.103,-0.20064008727009416,0.13805726206603108,0.20892200034173639,0.7910779996582635,False,False,False,False,False,False,False,True,False
South Africa,ZAF,0,55.089,0.22364001715747422,0.14387034001395063,0.6832466068170769,0.31675339318292306,False,False,False,False,False,True,False,False,True
Zambia,ZMB,0,44.615,-0.19841525870576956,0.035342880760132846,0.8486241852096569,0.15137581479034312,False,False,False,False,False,True,True,False,False
Zimbabwe,ZWE,0,44.01,-0.1824441679404394,0.0402047766900546,0.8412242235066306,0.15877577649336938,False,False,False,False,False,True,False,True,False
Afghanistan,AFG,1,56.784,-0.19948794394431466,0.12377580843352616,0.6267243919587747,0.3732756080412252,False,False,False,False,True,False,True,False,False
Angola,AGO,1,47.702,-0.18007366663295976,0.08795972541969514,0.8032368631578285,0.1967631368421714,False,False,False,False,False,True,False,True,False
Albania,ALB,1,74.579,-0.19587259750202812,0.16510687307567934,0.19156840996521127,0.8084315900347887,True,False,False,False,False,False,False,False,True
Andorra,AND,1,74.6685,-0.2001500953027446,0.11684424994306333,0.04777906122020372,0.9522209387797962,True,False,False,False,False,False,False,False,False
United Arab Emirates,ARE,1,74.758,-0.06954735930740905,0.26475582282511817,0.11667185907310221,0.8833281409268977,False,False,True,False,False,False,False,False,False
